route_id,seq,node_id,lon,lat
10690894231__2334439514__cand_03_penalty,79,3139458021,-8.6536003,41.1792383
10690894231__2334439514__cand_03_penalty,80,2197440824,-8.6540033,41.1792479
10690894231__2334439514__cand_03_penalty,81,8788346797,-8.6540251,41.1792804
10690894231__2334439514__cand_03_penalty,82,2197440897,-8.6541234,41.1795126
10690894231__2334439514__cand_03_penalty,83,2197440890,-8.6541282,41.1795778
10690894231__2334439514__cand_03_penalty,84,5869802255,-8.6541317,41.1797002
10690894231__2334439514__cand_03_penalty,85,2334439514,-8.6539827,41.1800319
10690894231__2334439514__cand_04_penalty,0,10690894231,-8.5990632,41.1824076
10690894231__2334439514__cand_04_penalty,1,2198252493,-8.5990134,41.1825116
10690894231__2334439514__cand_04_penalty,2,420807840,-8.5972538,41.1820433
10690894231__2334439514__cand_04_penalty,3,420776909,-8.5971857,41.1821772
10690894231__2334439514__cand_04_penalty,4,420776895,-8.5971925,41.1823245
10690894231__2334439514__cand_04_penalty,5,788826702,-8.598063,41.1825582
10690894231__2334439514__cand_04_penalty,6,788826707,-8.5989819,41.1828079
10690894231__2334439514__cand_04_penalty,7,431925048,-8.5993444,41.1829043
10690894231__2334439514__cand_04_penalty,8,430267079,-8.6011118,41.1833779
10690894231__2334439514__cand_04_penalty,9,112651995,-8.601425,41.1834539
10690894231__2334439514__cand_04_penalty,10,446308238,-8.6026487,41.1837239
10690894231__2334439514__cand_04_penalty,11,287458421,-8.6048909,41.1842227
10690894231__2334439514__cand_04_penalty,12,10832280405,-8.604953,41.1842402
10690894231__2334439514__cand_04_penalty,13,4520426801,-8.605292,41.1843269
10690894231__2334439514__cand_04_penalty,14,112651997,-8.6066461,41.1846323
10690894231__2334439514__cand_04_penalty,15,3139458237,-8.6071917,41.1847158
10690894231__2334439514__cand_04_penalty,16,11489024178,-8.6079745,41.1847598
10690894231__2334439514__cand_04_penalty,17,112652002,-8.6090463,41.1846757
10690894231__2334439514__cand_04_penalty,18,112613592,-8.6095467,41.1844453
10690894231__2334439514__cand_04_penalty,19,112652004,-8.6097347,41.1845367
10690894231__2334439514__cand_04_penalty,20,2169139649,-8.6099226,41.184488
10690894231__2334439514__cand_04_penalty,21,2169139651,-8.6101288,41.1844238
10690894231__2334439514__cand_04_penalty,22,430284836,-8.6118178,41.1837866
10690894231__2334439514__cand_04_penalty,23,112652015,-8.6134476,41.1833293
10690894231__2334439514__cand_04_penalty,24,112613584,-8.6134596,41.1831689
10690894231__2334439514__cand_04_penalty,25,431647245,-8.6135317,41.1825537
10690894231__2334439514__cand_04_penalty,26,9549490295,-8.6135658,41.1822846
10690894231__2334439514__cand_04_penalty,27,444004650,-8.6135811,41.1821411
10690894231__2334439514__cand_04_penalty,28,9549490301,-8.6135866,41.1820988
10690894231__2334439514__cand_04_penalty,29,444004648,-8.613677,41.1813853
10690894231__2334439514__cand_04_penalty,30,8865527860,-8.6137332,41.1808616
10690894231__2334439514__cand_04_penalty,31,4585887625,-8.6138119,41.1802208
10690894231__2334439514__cand_04_penalty,32,3170300783,-8.6138809,41.1796552
10690894231__2334439514__cand_04_penalty,33,9865054759,-8.614015,41.1785435
10690894231__2334439514__cand_04_penalty,34,9119079830,-8.6140195,41.1785075
10690894231__2334439514__cand_04_penalty,35,128560419,-8.614101,41.1776249
10690894231__2334439514__cand_04_penalty,36,11167485449,-8.6141071,41.1764329
10690894231__2334439514__cand_04_penalty,37,128560421,-8.6140981,41.1763888
10690894231__2334439514__cand_04_penalty,38,128560423,-8.6138761,41.1757372
10690894231__2334439514__cand_04_penalty,39,11105950346,-8.6138294,41.1756071
10690894231__2334439514__cand_04_penalty,40,11105950350,-8.6138093,41.1755512
10690894231__2334439514__cand_04_penalty,41,11105950362,-8.6136786,41.1751874
10690894231__2334439514__cand_04_penalty,42,9560884641,-8.6136262,41.1750414
10690894231__2334439514__cand_04_penalty,43,128560426,-8.6136251,41.1750383
10690894231__2334439514__cand_04_penalty,44,128616477,-8.613633,41.1747826
10690894231__2334439514__cand_04_penalty,45,11371513838,-8.6136372,41.1747744
10690894231__2334439514__cand_04_penalty,46,128573633,-8.614183,41.1746522
10690894231__2334439514__cand_04_penalty,47,3092784194,-8.6186796,41.1738557
10690894231__2334439514__cand_04_penalty,48,1110673464,-8.620333,41.1736917
10690894231__2334439514__cand_04_penalty,49,1105984390,-8.6228809,41.1734283
10690894231__2334439514__cand_04_penalty,50,26015929,-8.6254855,41.1731767
10690894231__2334439514__cand_04_penalty,51,26016417,-8.6400656,41.1687869
10690894231__2334439514__cand_04_penalty,52,25503951,-8.6420446,41.168347
10690894231__2334439514__cand_04_penalty,53,1243857957,-8.6433016,41.1682558
10690894231__2334439514__cand_04_penalty,54,112589349,-8.6438249,41.1686788
10690894231__2334439514__cand_04_penalty,55,4722746602,-8.6440568,41.1688009
10690894231__2334439514__cand_04_penalty,56,112263308,-8.6526817,41.1758181
10690894231__2334439514__cand_04_penalty,57,4656694945,-8.6534668,41.1765788
10690894231__2334439514__cand_04_penalty,58,4656694942,-8.6539205,41.1769507
10690894231__2334439514__cand_04_penalty,59,111649545,-8.6542056,41.17718
10690894231__2334439514__cand_04_penalty,60,5476877921,-8.6550611,41.1779551
10690894231__2334439514__cand_04_penalty,61,111636738,-8.6550529,41.1779667
10690894231__2334439514__cand_04_penalty,62,111636742,-8.655249,41.1783026
10690894231__2334439514__cand_04_penalty,63,111636743,-8.6552994,41.1783165
10690894231__2334439514__cand_04_penalty,64,111641319,-8.6563727,41.1790288
10690894231__2334439514__cand_04_penalty,65,13852195176,-8.6565468,41.1791884
10690894231__2334439514__cand_04_penalty,66,5971114298,-8.6566127,41.179248
10690894231__2334439514__cand_04_penalty,67,1837851160,-8.6571395,41.1800446
10690894231__2334439514__cand_04_penalty,68,4179753871,-8.6571768,41.1803246
10690894231__2334439514__cand_04_penalty,69,8785232252,-8.6571604,41.1810059
10690894231__2334439514__cand_04_penalty,70,6056394005,-8.6570145,41.1813551
10690894231__2334439514__cand_04_penalty,71,4604362038,-8.6569802,41.1814796
10690894231__2334439514__cand_04_penalty,72,11028522873,-8.6569805,41.1815372
10690894231__2334439514__cand_04_penalty,73,297353358,-8.6565758,41.1823484
10690894231__2334439514__cand_04_penalty,74,4605936269,-8.6557373,41.182522
10690894231__2334439514__cand_04_penalty,75,10543626671,-8.6548636,41.1826902
10690894231__2334439514__cand_04_penalty,76,8788346770,-8.6546715,41.1827221
10690894231__2334439514__cand_04_penalty,77,1837851208,-8.6545113,41.1818884
10690894231__2334439514__cand_04_penalty,78,4604359585,-8.6545657,41.181833
10690894231__2334439514__cand_04_penalty,79,6094493381,-8.6544685,41.181699
10690894231__2334439514__cand_04_penalty,80,2334439514,-8.6539827,41.1800319
10690894231__2334439514__cand_05_penalty,0,10690894231,-8.5990632,41.1824076
10690894231__2334439514__cand_05_penalty,1,2198252493,-8.5990134,41.1825116
10690894231__2334439514__cand_05_penalty,2,420807840,-8.5972538,41.1820433
10690894231__2334439514__cand_05_penalty,3,420776909,-8.5971857,41.1821772
10690894231__2334439514__cand_05_penalty,4,420776894,-8.5970617,41.1822888
10690894231__2334439514__cand_05_penalty,5,4494941281,-8.5969426,41.1837424
10690894231__2334439514__cand_05_penalty,6,11627296159,-8.5976096,41.1837436
10690894231__2334439514__cand_05_penalty,7,1221776530,-8.5989608,41.1837331
10690894231__2334439514__cand_05_penalty,8,6710467222,-8.6002944,41.1843577
10690894231__2334439514__cand_05_penalty,9,6710467221,-8.6003494,41.1843883
10690894231__2334439514__cand_05_penalty,10,430267081,-8.6010534,41.1847863
10690894231__2334439514__cand_05_penalty,11,431615495,-8.6012242,41.1849244
10690894231__2334439514__cand_05_penalty,12,5310413728,-8.6021948,41.1856376
10690894231__2334439514__cand_05_penalty,13,12036406470,-8.6026688,41.1859294
10690894231__2334439514__cand_05_penalty,14,429833964,-8.6031804,41.1862331
10690894231__2334439514__cand_05_penalty,15,287458423,-8.6034276,41.1860087
10690894231__2334439514__cand_05_penalty,16,430267072,-8.6042306,41.1877176
10690894231__2334439514__cand_05_penalty,17,4496173385,-8.6053042,41.190019
10690894231__2334439514__cand_05_penalty,18,287458433,-8.6053539,41.1902302
10690894231__2334439514__cand_05_penalty,19,429200540,-8.6054578,41.1902699
10690894231__2334439514__cand_05_penalty,20,2082720512,-8.6074442,41.1910556
10690894231__2334439514__cand_05_penalty,21,429854607,-8.6075505,41.1910984
10690894231__2334439514__cand_05_penalty,22,420865860,-8.6076135,41.1911202
10690894231__2334439514__cand_05_penalty,23,420865811,-8.608189,41.1913581
10690894231__2334439514__cand_05_penalty,24,420865813,-8.6084381,41.191828
10690894231__2334439514__cand_05_penalty,25,420865807,-8.60858,41.1918332
10690894231__2334439514__cand_05_penalty,26,429854630,-8.6087604,41.19153
10690894231__2334439514__cand_05_penalty,27,429854632,-8.6097344,41.1917693
10690894231__2334439514__cand_05_penalty,28,429854634,-8.6100634,41.1918413
10690894231__2334439514__cand_05_penalty,29,12673092859,-8.6106531,41.1918881
10690894231__2334439514__cand_05_penalty,30,429854637,-8.6114907,41.1918287
10690894231__2334439514__cand_05_penalty,31,280065275,-8.6114064,41.1931653
10690894231__2334439514__cand_05_penalty,32,429854666,-8.613317,41.1928757
10690894231__2334439514__cand_05_penalty,33,430491191,-8.6145154,41.1926968
10690894231__2334439514__cand_05_penalty,34,280065173,-8.6153738,41.1925703
10690894231__2334439514__cand_05_penalty,35,429998754,-8.6162844,41.1927988
10690894231__2334439514__cand_05_penalty,36,532488457,-8.6168044,41.1929592
10690894231__2334439514__cand_05_penalty,37,3755852292,-8.6169079,41.1930503
10690894231__2334439514__cand_05_penalty,38,429998738,-8.6169631,41.1930315
10690894231__2334439514__cand_05_penalty,39,3755852310,-8.6169359,41.1929114
10690894231__2334439514__cand_05_penalty,40,429854683,-8.617527,41.1926889
10690894231__2334439514__cand_05_penalty,41,2292564294,-8.6185397,41.1923568
10690894231__2334439514__cand_05_penalty,42,430491189,-8.6188304,41.1922393
10690894231__2334439514__cand_05_penalty,43,12469918184,-8.6199758,41.1917527
10690894231__2334439514__cand_05_penalty,44,12469918187,-8.6201323,41.1916804
10690894231__2334439514__cand_05_penalty,45,280065445,-8.6204372,41.1914911
10690894231__2334439514__cand_05_penalty,46,532488401,-8.6216263,41.1907602
10690894231__2334439514__cand_05_penalty,47,7234074272,-8.6217076,41.190768
10690894231__2334439514__cand_05_penalty,48,532488410,-8.6219737,41.190852
10690894231__2334439514__cand_05_penalty,49,7417622226,-8.6220157,41.1908747
10690894231__2334439514__cand_05_penalty,50,2292597561,-8.6222595,41.1910707
10690894231__2334439514__cand_05_penalty,51,532488415,-8.6224391,41.1912034
10690894231__2334439514__cand_05_penalty,52,532488389,-8.6228811,41.1914883
10690894231__2334439514__cand_05_penalty,53,10205136459,-8.6230563,41.1915126
10690894231__2334439514__cand_05_penalty,54,532488391,-8.6232169,41.191487
10690894231__2334439514__cand_05_penalty,55,532488398,-8.6242948,41.1912082
10690894231__2334439514__cand_05_penalty,56,10179016473,-8.6270754,41.1910092
